region,keyword,intent,tier,viability,owner_page,status,notes,gsc_impressions,gsc_clicks,gsc_position
seq-wide,kitchen supply only queensland,commercial,supply,1,owner-builder-kitchen-supply.html,owned,Core SEQ play. Supply-only intent is exactly what Bilt can serve at 600km.,,,
seq-wide,assembled kitchen cabinets delivered,commercial,supply,1,owner-builder-kitchen-supply.html,owned,"Delivered assembled is the differentiator. Not flat pack, not a kit.",,,
seq-wide,kitchen cabinets supplied not installed,commercial,supply,1,owner-builder-kitchen-supply.html,owned,,,,
seq-wide,who supplies kitchens to builders queensland,commercial,supply,1,trade.html,owned,B2B. Highest value per enquiry in this whole file.,,,
seq-wide,trade kitchen supplier queensland,commercial,supply,1,trade.html,owned,,,,
seq-wide,bulk kitchen supply queensland,commercial,supply,1,trade.html,owned,Multi-dwelling developers. Repeat orders.,,,
seq-wide,kitchen supplier for granny flat builders,commercial,supply,1,trade.html,owned,,,,
seq-wide,kitchen supplier for tiny home builders,commercial,supply,1,trade.html,owned,,,,
seq-wide,sda kitchen supplier queensland,commercial,supply,1,sda-kitchens-queensland.html,owned,SDA builders operate statewide and expect supply arrangements. Strongest SEQ opening.,,,
seq-wide,sda compliant kitchen,commercial,supply,1,sda-kitchens-queensland.html,owned,,,,
seq-wide,specialist disability accommodation kitchen,commercial,supply,1,sda-kitchens-queensland.html,owned,,,,
seq-wide,robust category kitchen sda,commercial,supply,1,sda-kitchens-queensland.html,owned,"Very specific. Low volume, near-zero competition, high intent.",,,
seq-wide,ndis kitchen modifications queensland,commercial,supply,1,guide-ndis-kitchen-modifications-queensland.html,owned,Guide ranks statewide; supply fulfils it.,,,
seq-wide,ndis kitchen supplier,commercial,supply,1,accessible-kitchens.html,owned,,,,
seq-wide,accessible kitchen australia,informational,supply,2,accessible-kitchens.html,owned,,,,
seq-wide,wheelchair accessible kitchen queensland,commercial,supply,1,accessible-kitchens.html,owned,,,,
seq-wide,height adjustable kitchen bench australia,commercial,supply,2,accessible-kitchens.html,owned,,,,
seq-wide,ot report kitchen quote,commercial,supply,1,accessible-kitchens.html,owned,Extremely high intent - they have the report and need a quote.,,,
seq-wide,home modification kitchen quote queensland,commercial,supply,1,accessible-kitchens.html,owned,,,,
seq-wide,livable housing australia kitchen,informational,supply,2,aging-in-place-kitchens.html,partial,,,,
seq-wide,aging in place kitchen design,informational,supply,2,aging-in-place-kitchens.html,owned,,,,
seq-wide,owner builder kitchen queensland,commercial,supply,1,owner-builder-kitchen-supply.html,owned,,,,
seq-wide,owner builder permit qld,informational,supply,1,guide-owner-builder-permit-qld.html,owned,Informational - ranks statewide regardless of service area.,,,
seq-wide,owner builder course qld,informational,supply,3,guide-owner-builder-permit-qld.html,partial,Low commercial value. Do not build a page for it.,,,
seq-wide,granny flat rules queensland,informational,supply,1,guide-granny-flat-rules-qld.html,owned,"Built. State-level framework page; also owns ""secondary dwelling queensland requirements"".",,,
seq-wide,secondary dwelling queensland requirements,informational,supply,1,guide-granny-flat-rules-qld.html,secondary,"Same intent as the above - deliberately NOT a separate page. One owner, no cannibalisation.",,,
seq-wide,tiny house laws queensland,informational,supply,1,guide-tiny-home-laws-qld.html,owned,Already built. Ranks statewide.,,,
seq-wide,can i live in a shed queensland,informational,supply,2,guide-garage-conversion-approval-qld.html,partial,Covered obliquely. Could earn its own page.,,,
seq-wide,short stay letting rules queensland,informational,supply,1,guide-short-stay-letting-rules-qld.html,owned,Already built.,,,
seq-wide,class 1a building explained,informational,supply,2,guide-class-1a-granny-flat-yeppoon.html,partial,Yeppoon page carries it but is locally framed. A state-level version would rank wider.,,,
brisbane,kitchen renovation brisbane,transactional,none,0,,avoid,"UNSERVICEABLE and unwinnable. 600km, no install, dozens of established local firms.",,,
brisbane,kitchens brisbane,transactional,none,0,,avoid,As above.,,,
brisbane,custom kitchens brisbane,transactional,none,0,,avoid,As above.,,,
brisbane,cheap kitchens brisbane,transactional,none,0,,avoid,Wrong buyer and unserviceable.,,,
brisbane,granny flat kitchen brisbane,commercial,supply,2,kitchens-brisbane.html,secondary,Supported by the Brisbane supply page rather than its own.,,,
brisbane,kitchen supply brisbane no install,commercial,supply,1,kitchens-brisbane.html,owned,Built as a supply page. States plainly that installation is not offered.,,,
brisbane,brisbane city council granny flat rules,informational,supply,2,,gap,"Informational, links BCC directly. Funnels to supply. Low competition on council specifics.",,,
gold-coast,kitchen renovation gold coast,transactional,none,0,,avoid,Unserviceable and hyper-competitive.,,,
gold-coast,granny flat kitchen gold coast,commercial,supply,3,,gap,Supply only. Lower priority than Brisbane or Moreton Bay.,,,
gold-coast,gold coast city council secondary dwelling,informational,supply,3,,gap,,,,
sunshine-coast,kitchens caloundra,transactional,supply,1,kitchens-caloundra.html,owned,Already built as a supply page.,,,
sunshine-coast,kitchen supply sunshine coast,commercial,supply,1,kitchens-caloundra.html,owned,,,,
sunshine-coast,granny flat kitchen sunshine coast,commercial,supply,2,,gap,Supply only. Pairs with the Caloundra page.,,,
sunshine-coast,sunshine coast council granny flat rules,informational,supply,2,,gap,,,,
sunshine-coast,kitchen renovation sunshine coast,transactional,none,0,,avoid,Unserviceable. Do not target.,,,
sunshine-coast,noosa kitchen renovation,transactional,none,0,,avoid,,,,
moreton-bay,granny flat kitchen moreton bay,commercial,supply,2,,gap,Moreton Bay has one of the highest secondary-dwelling rates in SEQ. Supply only.,,,
moreton-bay,moreton bay council secondary dwelling rules,informational,supply,2,,gap,,,,
moreton-bay,kitchen renovation caboolture,transactional,none,0,,avoid,Unserviceable.,,,
logan,granny flat kitchen logan,commercial,supply,2,,gap,Logan permits secondary dwellings widely. Strong supply market.,,,
logan,logan city council granny flat,informational,supply,2,,gap,,,,
logan,kitchen renovation logan,transactional,none,0,,avoid,Unserviceable.,,,
ipswich,granny flat kitchen ipswich,commercial,supply,3,,gap,Supply only. Lower priority.,,,
ipswich,ipswich council secondary dwelling,informational,supply,3,,gap,,,,
redland,granny flat kitchen redlands,commercial,supply,3,,gap,,,,
toowoomba,kitchen supply toowoomba,commercial,supply,3,,gap,Closer to Rockhampton than the coast but still supply-only. Low priority.,,,
seq-wide,kitchen for a container home queensland,commercial,supply,2,,gap,Container conversions are common in SEQ. Supply suits them - they already have a builder.,,,
seq-wide,kitchen for a shed home queensland,commercial,supply,2,,gap,,,,
seq-wide,kitchen for a kit home,commercial,supply,2,,gap,Kit home buyers are already coordinating supply. Natural fit.,,,
seq-wide,kitchen for a modular home queensland,commercial,supply,2,,gap,,,,
seq-wide,dual occupancy kitchen supply,commercial,supply,2,,gap,,,,
seq-wide,how much does a granny flat kitchen cost,commercial,supply,1,granny-flat-kitchens.html,owned,Cost intent ranks statewide and converts to supply enquiries from SEQ.,,,
seq-wide,how much does a kitchen cost australia,commercial,supply,1,investment.html,owned,Already owned. National reach.,,,
seq-wide,kitchen renovation cost calculator,commercial,supply,1,investment.html,owned,The estimator is the differentiator here.,,,
seq-wide,is it cheaper to supply your own kitchen,commercial,supply,1,guide-supply-your-own-kitchen.html,owned,Built.,,,
seq-wide,flat pack vs assembled kitchen,commercial,supply,1,guide-flat-pack-vs-assembled-kitchen.html,owned,Built. Positions assembled delivery without entering the flat-pack pond.,,,
seq-wide,do kitchen companies deliver assembled,commercial,supply,2,,gap,,,,
seq-wide,kitchen delivered to regional queensland,commercial,supply,2,,gap,,,,
seq-wide,blum hardware kitchen supplier,informational,supply,3,fit-out.html,partial,Brand term. Supports E-E-A-T rather than converting.,,,
seq-wide,soft close drawers kitchen australia,informational,supply,3,fit-out.html,owned,,,,
seq-wide,best kitchen benchtop australia,informational,supply,2,guide-benchtops-compared.html,owned,Already owned. National informational reach.,,,
seq-wide,kitchen layouts explained,informational,supply,2,guide-kitchen-layouts.html,owned,Already owned.,,,
seq-wide,kitchen renovation checklist,informational,supply,2,guide-kitchen-renovation-checklist.html,owned,Already owned.,,,
seq-wide,does a new kitchen add value australia,informational,supply,2,guide-does-a-new-kitchen-add-value.html,owned,Already owned.,,,
seq-wide,kitchen colours 2026 australia,informational,supply,2,guide-kitchen-colours-2026.html,owned,Already owned. Refresh the year annually.,,,
seq-wide,kitchen installer near me,transactional,none,0,,avoid,Near-me intent cannot be served at 600km. Actively wrong to target.,,,
seq-wide,kitchen showroom brisbane,transactional,none,0,,avoid,No showroom anywhere. Would be a false claim.,,,
seq-wide,emergency kitchen replacement brisbane,transactional,none,0,,avoid,Unserviceable.,,,
mackay,granny flat rules mackay,informational,supply,1,guide-granny-flat-rules-mackay-regional.html,owned,Council-specific. Links Mackay Regional directly.,,,
isaac,granny flat rules moranbah,informational,supply,1,guide-granny-flat-rules-isaac-regional.html,owned,Council-specific. Links Isaac Regional directly. Mining cohort market.,,,
whitsunday,granny flat rules airlie beach,informational,supply,1,guide-granny-flat-rules-whitsunday-regional.html,owned,Council-specific. Use decides the pathway - holiday let vs family.,,,
whitsunday,kitchen supply whitsundays,commercial,supply,1,kitchens-whitsundays.html,owned,Supply page. Installation not offered.,,,
seq-wide,sda design categories,informational,supply,1,guide-sda-design-categories-explained.html,owned,Explains the four categories; feeds the SDA product page.,,,
